id;nombre;departamento;subarea;owner;tipo;prioridad;estado;fase;fecha_inicio;fecha_fin_prevista;avance_pct;riesgo;presupuesto_eur;gasto_eur;objetivo;impacto_esperado;notas
GRW-001;Escalado Paid Q4 — Meta + Google;Growth;Paid Media;Por asignar;Adquisición;P0;En curso;Ejecución;2026-09-01;2026-12-20;0.25;Medio;180000;41500;Duplicar el volumen de leads cualificados de la edición 2027 sin degradar el CAC.;+1.100 MQL y 140 matrículas incrementales en el trimestre.;Depende de que GRW-007 (tracking server-side) esté cerrado para optimizar a matrícula.
GRW-002;Rediseño LP Máster IA para Creativos;Growth;CRO & Web;Por asignar;Conversión;P0;En curso;Diseño;2026-08-18;2026-10-31;0.45;Bajo;22000;9800;Subir la conversión visita→lead de la landing principal del máster.;+35% CVR sobre la maqueta actual.;Hipótesis principal — pricing card en hero above the fold y social proof (Microsoft/Freepik) subido al hero.
GRW-003;"Cluster SEO ""IA aplicada a negocio""";Growth;SEO & Contenido;Por asignar;Adquisición;P1;En curso;Ejecución;2026-06-15;2027-01-31;0.4;Medio;36000;15200;Construir autoridad orgánica en 40 keywords de intención informacional y comercial.;60.000 sesiones orgánicas/mes a 6 meses vista.;16 de 40 artículos publicados. Cuello de botella en revisión editorial.
GRW-004;Nurturing lead → matrícula (HubSpot);Growth;Lifecycle & CRM;Por asignar;Conversión;P0;En riesgo;Ejecución;2026-07-01;2026-10-15;0.55;Alto;18000;12400;Reducir el tiempo de ciclo lead→matrícula con secuencias segmentadas por programa.;-8 días de ciclo y +4pp de conversión MQL→matrícula.;En riesgo por dependencia de datos limpios en HubSpot. Escalado a Ventas.
GRW-005;Programa de embajadores alumni;Growth;Partnerships & Afiliación;Por asignar;Adquisición;P1;Backlog;Discovery;2026-10-01;2027-02-28;0.0;Medio;45000;0;Activar la base de alumni como canal de referidos con incentivo económico.;8% de las matrículas por referido a 12 meses.;Pendiente definir modelo de comisión con Finanzas.
GRW-006;Landing Augment MBA;Growth;CRO & Web;Por asignar;Conversión;P1;Completado;Cerrado;2026-07-20;2026-08-29;1.0;Bajo;12000;11300;Lanzar la landing del programa Augment MBA con estructura canónica Founderz.;Canal propio de captación para el nuevo programa.;Maquetada en projects/augment-mba/. Pendiente pasar a medición en GRW-007.
GRW-007;Tracking server-side + GA4 limpio;Growth;Data & Analytics;Por asignar;Proceso interno;P0;En curso;Ejecución;2026-08-01;2026-10-10;0.6;Alto;28000;16900;Recuperar señal de conversión para optimizar campañas a matrícula, no a lead.;Habilita smart bidding real. Bloquea GRW-001 y GRW-010.;Bloqueante de dos proyectos P0. Máxima prioridad de desbloqueo.
GRW-008;Webinars mensuales de captación;Growth;Brand & Social;Por asignar;Adquisición;P2;En curso;Ejecución;2026-05-01;2026-12-31;0.65;Bajo;24000;14800;Generar leads de alta intención con sesiones en directo con profesores.;400 leads/mes con conversión a matrícula 3x la media.;Formato validado. Escalar de 1 a 2 sesiones al mes en Q4.
GRW-009;Motor de lead gen B2B (empresas);Growth;Partnerships & Afiliación;Por asignar;Adquisición;P1;Bloqueado;Discovery;2026-09-15;2027-01-15;0.1;Alto;60000;3200;Abrir el canal de formación para empresas con oferta y funnel propios.;12 cuentas corporativas firmadas en el primer año.;Bloqueado hasta que exista pricing B2B aprobado.
GRW-010;Optimización checkout y financiación;Growth;CRO & Web;Por asignar;Conversión;P0;En curso;Medición;2026-06-01;2026-09-30;0.8;Medio;20000;17600;Reducir el abandono en el paso de pago mostrando financiación antes del precio total.;-12pp de abandono en checkout.;Test A/B en marcha, 2 semanas para significancia.
GRW-011;Newsletter Founderz a 50k;Growth;Brand & Social;Por asignar;Retención;P2;En curso;Ejecución;2026-04-01;2026-12-31;0.5;Bajo;15000;7100;Construir audiencia propia para reducir dependencia de paid.;50.000 suscriptores y 15% de las matrículas atribuidas a canal propio.;27.400 suscriptores actuales.
GRW-012;Reporting Growth automatizado (Make + HubSpot);Growth;Data & Analytics;Por asignar;Proceso interno;P1;Backlog;Discovery;2026-10-15;2026-12-15;0.0;Bajo;9000;0;Eliminar el reporting manual semanal del equipo de Growth.;6 h/semana liberadas y dato único compartido con Dirección.;Depende de GRW-007 para que la capa de datos sea fiable.
